gene_name	set	reference	ENSEMBL
FAM107A	RadialGlia	PollenEtAl2014	ENSG00000168309
OAT	RadialGlia	PollenEtAl2014	ENSG00000065154
GPX3	RadialGlia	PollenEtAl2014	ENSG00000211445
DAXX	RadialGlia	PollenEtAl2014	ENSG00000204209
BCAN	RadialGlia	PollenEtAl2014	ENSG00000132692
HES1	RadialGlia	PollenEtAl2014	ENSG00000114315
CDO1	RadialGlia	PollenEtAl2014	ENSG00000129596
MRPS26	RadialGlia	PollenEtAl2014	ENSG00000125901
DHRS3	RadialGlia	PollenEtAl2014	ENSG00000162496
PRTFDC1	RadialGlia	PollenEtAl2014	ENSG00000099256
PLCE1	RadialGlia	PollenEtAl2014	ENSG00000138193
IRF2BP2	RadialGlia	PollenEtAl2014	ENSG00000168264
ITGB8	RadialGlia	PollenEtAl2014	ENSG00000105855
DNAJC3	RadialGlia	PollenEtAl2014	ENSG00000102580
SBDS	RadialGlia	PollenEtAl2014	ENSG00000126524
ZSCAN32	RadialGlia	PollenEtAl2014	ENSG00000140987
ADGRV1	RadialGlia	PollenEtAl2014	ENSG00000164199
HSPH1	RadialGlia	PollenEtAl2014	ENSG00000120694
PON2	RadialGlia	PollenEtAl2014	ENSG00000105854
NAA15	RadialGlia	PollenEtAl2014	ENSG00000164134
DDIT3	RadialGlia	PollenEtAl2014	ENSG00000175197
SEC61A1	RadialGlia	PollenEtAl2014	ENSG00000058262
ECH1	RadialGlia	PollenEtAl2014	ENSG00000104823
SPRY2	RadialGlia	PollenEtAl2014	ENSG00000136158
JUN	RadialGlia	PollenEtAl2014	ENSG00000177606
HSPA1B	RadialGlia	PollenEtAl2014	ENSG00000204388
PSAP	RadialGlia	PollenEtAl2014	ENSG00000197746
STIP1	RadialGlia	PollenEtAl2014	ENSG00000168439
PDPN	RadialGlia	PollenEtAl2014	ENSG00000162493
RFTN2	RadialGlia	PollenEtAl2014	ENSG00000162944
C8orf4	RadialGlia	PollenEtAl2014	ENSG00000176907
UROD	RadialGlia	PollenEtAl2014	ENSG00000126088
FOSB	RadialGlia	PollenEtAl2014	ENSG00000125740
STX12	RadialGlia	PollenEtAl2014	ENSG00000117758
MOXD1	RadialGlia	PollenEtAl2014	ENSG00000079931
SBDSP1	RadialGlia	PollenEtAl2014	ENSG00000225648
ADAM9	RadialGlia	PollenEtAl2014	ENSG00000168615
GFAP	RadialGlia	PollenEtAl2014	ENSG00000131095
TWSG1	RadialGlia	PollenEtAl2014	ENSG00000128791
CTNNA1	RadialGlia	PollenEtAl2014	ENSG00000044115
ATP1A2	RadialGlia	PollenEtAl2014	ENSG00000018625
KLF6	RadialGlia	PollenEtAl2014	ENSG00000067082
DDAH1	RadialGlia	PollenEtAl2014	ENSG00000153904
MDP1	RadialGlia	PollenEtAl2014	ENSG00000213920
DUSP10	RadialGlia	PollenEtAl2014	ENSG00000143507
CERS5	RadialGlia	PollenEtAl2014	ENSG00000139624
DNAJB1	RadialGlia	PollenEtAl2014	ENSG00000132002
SCHIP1	RadialGlia	PollenEtAl2014	ENSG00000151967
LIMCH1	RadialGlia	PollenEtAl2014	ENSG00000064042
CLIP3	RadialGlia	PollenEtAl2014	ENSG00000105270
NDUFV1	RadialGlia	PollenEtAl2014	ENSG00000167792
COMT	RadialGlia	PollenEtAl2014	ENSG00000093010
CA12	RadialGlia	PollenEtAl2014	ENSG00000074410
RRM2B	RadialGlia	PollenEtAl2014	ENSG00000048392
PEG3	RadialGlia	PollenEtAl2014	ENSG00000198300
CDCA7	RadialGlia	PollenEtAl2014	ENSG00000144354
SEMA6A	RadialGlia	PollenEtAl2014	ENSG00000092421
GLUD1	RadialGlia	PollenEtAl2014	ENSG00000148672
FBXO32	RadialGlia	PollenEtAl2014	ENSG00000156804
MLC1	RadialGlia	PollenEtAl2014	ENSG00000100427
ILK	RadialGlia	PollenEtAl2014	ENSG00000166333
SRR	RadialGlia	PollenEtAl2014	ENSG00000167720
NEDD9	RadialGlia	PollenEtAl2014	ENSG00000111859
WIPF3	RadialGlia	PollenEtAl2014	ENSG00000122574
VIMP	RadialGlia	PollenEtAl2014	ENSG00000131871
JAM3	RadialGlia	PollenEtAl2014	ENSG00000166086
LTBP1	RadialGlia	PollenEtAl2014	ENSG00000049323
PPM1K	RadialGlia	PollenEtAl2014	ENSG00000163644
TMX1	RadialGlia	PollenEtAl2014	ENSG00000139921
ZWINT	RadialGlia	PollenEtAl2014	ENSG00000122952
NPY	RadialGlia	PollenEtAl2014	ENSG00000122585
PPT1	RadialGlia	PollenEtAl2014	ENSG00000131238
STON2	RadialGlia	PollenEtAl2014	ENSG00000140022
AIF1L	RadialGlia	PollenEtAl2014	ENSG00000126878
GATM	RadialGlia	PollenEtAl2014	ENSG00000171766
GINS2	RadialGlia	PollenEtAl2014	ENSG00000131153
F3	RadialGlia	PollenEtAl2014	ENSG00000117525
ACHE	SandersASD	Sanders15	ENSG00000087085
ADNP	SandersASD	Sanders15	ENSG00000101126
AKAP9	SandersASD	Sanders15	ENSG00000127914
ANK2	SandersASD	Sanders15	ENSG00000145362
APH1A	SandersASD	Sanders15	ENSG00000117362
ARID1B	SandersASD	Sanders15	ENSG00000049618
ASH1L	SandersASD	Sanders15	ENSG00000116539
BCL11A	SandersASD	Sanders15	ENSG00000119866
CAPN12	SandersASD	Sanders15	ENSG00000182472
CHD2	SandersASD	Sanders15	ENSG00000173575
CHD8	SandersASD	Sanders15	ENSG00000100888
CTTNBP2	SandersASD	Sanders15	ENSG00000077063
CUL3	SandersASD	Sanders15	ENSG00000036257
DIP2A	SandersASD	Sanders15	ENSG00000160305
DNMT3A	SandersASD	Sanders15	ENSG00000119772
DSCAM	SandersASD	Sanders15	ENSG00000171587
DYRK1A	SandersASD	Sanders15	ENSG00000157540
ERBB2IP	SandersASD	Sanders15	ENSG00000112851
ETFB	SandersASD	Sanders15	ENSG00000105379
FOXP1	SandersASD	Sanders15	ENSG00000114861
GABRB3	SandersASD	Sanders15	ENSG00000166206
GIGYF1	SandersASD	Sanders15	ENSG00000146830
GRIN2B	SandersASD	Sanders15	ENSG00000273079
ILF2	SandersASD	Sanders15	ENSG00000143621
INTS6	SandersASD	Sanders15	ENSG00000102786
IRF2BPL	SandersASD	Sanders15	ENSG00000119669
KAT2B	SandersASD	Sanders15	ENSG00000114166
KATNAL2	SandersASD	Sanders15	ENSG00000167216
KDM5B	SandersASD	Sanders15	ENSG00000117139
KDM6B	SandersASD	Sanders15	ENSG00000132510
KMT2C	SandersASD	Sanders15	ENSG00000055609
KMT2E	SandersASD	Sanders15	ENSG00000005483
MBD5	SandersASD	Sanders15	ENSG00000204406
MFRP	SandersASD	Sanders15	ENSG00000235718
MIB1	SandersASD	Sanders15	ENSG00000101752
MYT1L	SandersASD	Sanders15	ENSG00000186487
NAA15	SandersASD	Sanders15	ENSG00000164134
NCKAP1	SandersASD	Sanders15	ENSG00000061676
NINL	SandersASD	Sanders15	ENSG00000101004
NLGN3	SandersASD	Sanders15	ENSG00000196338
NRXN1	SandersASD	Sanders15	ENSG00000179915
OR52M1	SandersASD	Sanders15	ENSG00000197790
P2RX5	SandersASD	Sanders15	ENSG00000083454
PHF2	SandersASD	Sanders15	ENSG00000197724
POGZ	SandersASD	Sanders15	ENSG00000143442
PTEN	SandersASD	Sanders15	ENSG00000171862
PTK7	SandersASD	Sanders15	ENSG00000112655
RANBP17	SandersASD	Sanders15	ENSG00000204764
SCN2A	SandersASD	Sanders15	ENSG00000136531
SETD5	SandersASD	Sanders15	ENSG00000168137
SHANK2	SandersASD	Sanders15	ENSG00000162105
SHANK3	SandersASD	Sanders15	ENSG00000251322
SLC6A1	SandersASD	Sanders15	ENSG00000157103
SPAST	SandersASD	Sanders15	ENSG00000021574
SUV420H1	SandersASD	Sanders15	ENSG00000110066
SYNGAP1	SandersASD	Sanders15	ENSG00000197283
TBR1	SandersASD	Sanders15	ENSG00000136535
TCF7L2	SandersASD	Sanders15	ENSG00000148737
TNRC6B	SandersASD	Sanders15	ENSG00000100354
TRIO	SandersASD	Sanders15	ENSG00000038382
TRIP12	SandersASD	Sanders15	ENSG00000153827
USP45	SandersASD	Sanders15	ENSG00000123552
WAC	SandersASD	Sanders15	ENSG00000095787
WDFY3	SandersASD	Sanders15	ENSG00000163625
ZNF559	SandersASD	Sanders15	ENSG00000188321
ABAT	SFARI	Werling15	ENSG00000183044
ADA	SFARI	Werling15	ENSG00000196839
ADSL	SFARI	Werling15	ENSG00000239900
AGTR2	SFARI	Werling15	ENSG00000180772
ALDH5A1	SFARI	Werling15	ENSG00000112294
ARX	SFARI	Werling15	ENSG00000004848
DHCR7	SFARI	Werling15	ENSG00000172893
C3orf58	SFARI	Werling15	ENSG00000181744
DMPK	SFARI	Werling15	ENSG00000104936
DMD	SFARI	Werling15	ENSG00000198947
DPYD	SFARI	Werling15	ENSG00000188641
FMR1	SFARI	Werling15	ENSG00000102081
FOXP2	SFARI	Werling15	ENSG00000128573
IL1RAPL1	SFARI	Werling15	ENSG00000169306
MAOA	SFARI	Werling15	ENSG00000189221
MCPH1	SFARI	Werling15	ENSG00000147316
MECP2	SFARI	Werling15	ENSG00000169057
NF1	SFARI	Werling15	ENSG00000196712
NTRK1	SFARI	Werling15	ENSG00000198400
RAI1	SFARI	Werling15	ENSG00000108557
RELN	SFARI	Werling15	ENSG00000189056
SLC6A8	SFARI	Werling15	ENSG00000130821
TSC1	SFARI	Werling15	ENSG00000165699
TSC2	SFARI	Werling15	ENSG00000103197
UBE3A	SFARI	Werling15	ENSG00000114062
CDKL5	SFARI	Werling15	ENSG00000008086
NLGN3	SFARI	Werling15	ENSG00000196338
NLGN4X	SFARI	Werling15	ENSG00000146938
RPL10	SFARI	Werling15	ENSG00000147403
SLC9A6	SFARI	Werling15	ENSG00000198689
RAB39B	SFARI	Werling15	ENSG00000155961
PTCHD1	SFARI	Werling15	ENSG00000165186
NRXN1	SFARI	Werling15	ENSG00000179915
CNTNAP2	SFARI	Werling15	ENSG00000174469
GRIN2A	SFARI	Werling15	ENSG00000183454
SHANK2	SFARI	Werling15	ENSG00000162105
SHANK3	SFARI	Werling15	ENSG00000251322
HRAS	SFARI	Werling15	ENSG00000174775
MET	SFARI	Werling15	ENSG00000105976
CACNA1H	SFARI	Werling15	ENSG00000196557
CNTN4	SFARI	Werling15	ENSG00000144619
RHOXF1	SFARI	Werling15	ENSG00000101883
ANKRD11	SFARI	Werling15	ENSG00000167522
APBA2	SFARI	Werling15	ENSG00000034053
DPP6	SFARI	Werling15	ENSG00000130226
NDNL2	SFARI	Werling15	ENSG00000185115
CDH10	SFARI	Werling15	ENSG00000040731
CDH9	SFARI	Werling15	ENSG00000113100
LZTS2	SFARI	Werling15	ENSG00000107816
ADORA2A	SFARI	Werling15	ENSG00000128271
ADRB2	SFARI	Werling15	ENSG00000169252
AR	SFARI	Werling15	ENSG00000169083
ARNT2	SFARI	Werling15	ENSG00000172379
C4B	SFARI	Werling15	ENSG00000224389
CACNA1F	SFARI	Werling15	ENSG00000102001
CTNNA3	SFARI	Werling15	ENSG00000183230
CYP11B1	SFARI	Werling15	ENSG00000160882
DLX6	SFARI	Werling15	ENSG00000006377
DRD3	SFARI	Werling15	ENSG00000151577
EN2	SFARI	Werling15	ENSG00000164778
ESR2	SFARI	Werling15	ENSG00000140009
ESRRB	SFARI	Werling15	ENSG00000119715
FABP5	SFARI	Werling15	ENSG00000164687
FEZF2	SFARI	Werling15	ENSG00000153266
FRK	SFARI	Werling15	ENSG00000111816
GABRA4	SFARI	Werling15	ENSG00000109158
GLO1	SFARI	Werling15	ENSG00000124767
GPX1	SFARI	Werling15	ENSG00000233276
GSTM1	SFARI	Werling15	ENSG00000134184
HLA-A	SFARI	Werling15	ENSG00000206503
HS3ST5	SFARI	Werling15	ENSG00000249853
HSD11B1	SFARI	Werling15	ENSG00000117594
HTR1B	SFARI	Werling15	ENSG00000135312
HTR3A	SFARI	Werling15	ENSG00000166736
HTR3C	SFARI	Werling15	ENSG00000178084
INPP1	SFARI	Werling15	ENSG00000151689
KCNMA1	SFARI	Werling15	ENSG00000156113
LRRC1	SFARI	Werling15	ENSG00000137269
MARK1	SFARI	Werling15	ENSG00000116141
MTF1	SFARI	Werling15	ENSG00000188786
MYO16	SFARI	Werling15	ENSG00000041515
NLGN1	SFARI	Werling15	ENSG00000169760
NLGN4Y	SFARI	Werling15	ENSG00000165246
NPAS2	SFARI	Werling15	ENSG00000170485
NRCAM	SFARI	Werling15	ENSG00000091129
NRP2	SFARI	Werling15	ENSG00000118257
NTRK3	SFARI	Werling15	ENSG00000140538
PER1	SFARI	Werling15	ENSG00000179094
PIK3CG	SFARI	Werling15	ENSG00000105851
PITX1	SFARI	Werling15	ENSG00000069011
PTGS2	SFARI	Werling15	ENSG00000073756
SLC1A1	SFARI	Werling15	ENSG00000106688
SLC25A12	SFARI	Werling15	ENSG00000115840
SLC6A4	SFARI	Werling15	ENSG00000108576
STK39	SFARI	Werling15	ENSG00000198648
SYT17	SFARI	Werling15	ENSG00000103528
TDO2	SFARI	Werling15	ENSG00000151790
UBE2H	SFARI	Werling15	ENSG00000186591
ASMT	SFARI	Werling15	ENSG00000196433
BZRAP1	SFARI	Werling15	ENSG00000005379.
CA6	SFARI	Werling15	ENSG00000131686
CADM1	SFARI	Werling15	ENSG00000182985
CDH22	SFARI	Werling15	ENSG00000149654
DLGAP2	SFARI	Werling15	ENSG00000198010
DPP10	SFARI	Werling15	ENSG00000175497
EIF4E	SFARI	Werling15	ENSG00000151247
FBXO40	SFARI	Werling15	ENSG00000163833
FHIT	SFARI	Werling15	ENSG00000189283
GALNT13	SFARI	Werling15	ENSG00000144278
KIAA1586	SFARI	Werling15	ENSG00000168116
MBD1	SFARI	Werling15	ENSG00000141644
MBD3	SFARI	Werling15	ENSG00000071655
MBD4	SFARI	Werling15	ENSG00000129071
MDGA2	SFARI	Werling15	ENSG00000139915
NTNG1	SFARI	Werling15	ENSG00000162631
ODF3L2	SFARI	Werling15	ENSG00000181781
OR1C1	SFARI	Werling15	ENSG00000221888
PARK2	SFARI	Werling15	ENSG00000185345
PCDH10	SFARI	Werling15	ENSG00000138650
PCDH9	SFARI	Werling15	ENSG00000184226
PLN	SFARI	Werling15	ENSG00000198523
RAPGEF4	SFARI	Werling15	ENSG00000091428
REEP3	SFARI	Werling15	ENSG00000165476
RIMS3	SFARI	Werling15	ENSG00000117016
RPS6KA2	SFARI	Werling15	ENSG00000071242
SCN2A	SFARI	Werling15	ENSG00000136531
SDC2	SFARI	Werling15	ENSG00000169439
SLC4A10	SFARI	Werling15	ENSG00000144290
SLC9A9	SFARI	Werling15	ENSG00000181804
ST7	SFARI	Werling15	ENSG00000004866
VASH1	SFARI	Werling15	ENSG00000071246
ITGB3	SFARI	Werling15	ENSG00000259207
AHI1	SFARI	Werling15	ENSG00000135541
HOXA1	SFARI	Werling15	ENSG00000105991
SCN1A	SFARI	Werling15	ENSG00000144285
GABRB3	SFARI	Werling15	ENSG00000166206
SEZ6L2	SFARI	Werling15	ENSG00000174938
CADPS2	SFARI	Werling15	ENSG00000081803
ATP10A	SFARI	Werling15	ENSG00000206190
NBEA	SFARI	Werling15	ENSG00000172915
SEMA5A	SFARI	Werling15	ENSG00000112902
DLX2	SFARI	Werling15	ENSG00000115844
DISC1	SFARI	Werling15	ENSG00000162946
FBXO33	SFARI	Werling15	ENSG00000165355
LRFN5	SFARI	Werling15	ENSG00000165379
OXTR	SFARI	Werling15	ENSG00000180914
PON1	SFARI	Werling15	ENSG00000005421
GRIK2	SFARI	Werling15	ENSG00000164418
LAMB1	SFARI	Werling15	ENSG00000091136
ASTN2	SFARI	Werling15	ENSG00000148219
RBFOX1	SFARI	Werling15	ENSG00000078328
AUTS2	SFARI	Werling15	ENSG00000158321
CACNA1C	SFARI	Werling15	ENSG00000151067
ABCD1	XlinkedID	Piton13	ENSG00000101986
ACSL4	XlinkedID	Piton13	ENSG00000068366
AFF2	XlinkedID	Piton13	ENSG00000155966
AP1S2	XlinkedID	Piton13	ENSG00000182287
ARHGEF9	XlinkedID	Piton13	ENSG00000131089
ARX	XlinkedID	Piton13	ENSG00000004848
ATP7A	XlinkedID	Piton13	ENSG00000165240
ATRX	XlinkedID	Piton13	ENSG00000085224
BCOR	XlinkedID	Piton13	ENSG00000183337
BRWD3	XlinkedID	Piton13	ENSG00000165288
CASK	XlinkedID	Piton13	ENSG00000147044
CDKL5	XlinkedID	Piton13	ENSG00000008086
CUL4B	XlinkedID	Piton13	ENSG00000158290
DCX	XlinkedID	Piton13	ENSG00000077279
DKC1	XlinkedID	Piton13	ENSG00000130826
DLG3	XlinkedID	Piton13	ENSG00000082458
DMD	XlinkedID	Piton13	ENSG00000198947
NDP	XlinkedID	Piton13	ENSG00000124479
FANCB	XlinkedID	Piton13	ENSG00000181544
FGD1	XlinkedID	Piton13	ENSG00000102302
FLNA	XlinkedID	Piton13	ENSG00000196924
FMR1	XlinkedID	Piton13	ENSG00000102081
FTSJ1	XlinkedID	Piton13	ENSG00000068438
GDI1	XlinkedID	Piton13	ENSG00000203879
GK	XlinkedID	Piton13	ENSG00000198814
GPC3	XlinkedID	Piton13	ENSG00000147257
GRIA3	XlinkedID	Piton13	ENSG00000125675
HCCS	XlinkedID	Piton13	ENSG00000004961
HDAC8	XlinkedID	Piton13	ENSG00000147099
HPRT	XlinkedID	Piton13	ENSG00000165704
HSD17B10	XlinkedID	Piton13	ENSG00000072506
HUWE1	XlinkedID	Piton13	ENSG00000086758
IDS	XlinkedID	Piton13	ENSG00000010404
IKBKG	XlinkedID	Piton13	ENSG00000269335
IL1RAPL1	XlinkedID	Piton13	ENSG00000169306
IQSEC2	XlinkedID	Piton13	ENSG00000124313
KDM5C	XlinkedID	Piton13	ENSG00000126012
L1CAM	XlinkedID	Piton13	ENSG00000198910
LAMP2	XlinkedID	Piton13	ENSG00000005893
MBTPS2	XlinkedID	Piton13	ENSG00000012174
MECP2	XlinkedID	Piton13	ENSG00000169057
MED12	XlinkedID	Piton13	ENSG00000184634
MID1	XlinkedID	Piton13	ENSG00000101871
NDUFA1	XlinkedID	Piton13	ENSG00000125356
NHS	XlinkedID	Piton13	ENSG00000188158
NLGN4X	XlinkedID	Piton13	ENSG00000146938
NSDHL	XlinkedID	Piton13	ENSG00000147383
OCRL	XlinkedID	Piton13	ENSG00000122126
OFD1	XlinkedID	Piton13	ENSG00000046651
OPHN1	XlinkedID	Piton13	ENSG00000079482
OTC	XlinkedID	Piton13	ENSG00000036473
PAK3	XlinkedID	Piton13	ENSG00000077264
PCDH19	XlinkedID	Piton13	ENSG00000165194
PDHA1	XlinkedID	Piton13	ENSG00000131828
PGK1	XlinkedID	Piton13	ENSG00000102144
PHF6	XlinkedID	Piton13	ENSG00000156531
PHF8	XlinkedID	Piton13	ENSG00000172943
PLP1	XlinkedID	Piton13	ENSG00000123560
PORCN	XlinkedID	Piton13	ENSG00000102312
PQBP1	XlinkedID	Piton13	ENSG00000102103
PRPS1	XlinkedID	Piton13	ENSG00000147224
PTCHD1	XlinkedID	Piton13	ENSG00000165186
RAB39B	XlinkedID	Piton13	ENSG00000155961
RBM10	XlinkedID	Piton13	ENSG00000182872
RPS6KA3	XlinkedID	Piton13	ENSG00000177189
SLC16A2	XlinkedID	Piton13	ENSG00000147100
SLC6A3	XlinkedID	Piton13	ENSG00000142319
SLC9A6	XlinkedID	Piton13	ENSG00000198689
SMC1A	XlinkedID	Piton13	ENSG00000072501
SMS	XlinkedID	Piton13	ENSG00000102172
SOX3	XlinkedID	Piton13	ENSG00000134595
SYN1	XlinkedID	Piton13	ENSG00000008056
SYP	XlinkedID	Piton13	ENSG00000102003
TIMM8A	XlinkedID	Piton13	ENSG00000126953
TSPAN7	XlinkedID	Piton13	ENSG00000156298
UBE2A	XlinkedID	Piton13	ENSG00000077721
UPF3B	XlinkedID	Piton13	ENSG00000125351
ZDHHC9	XlinkedID	Piton13	ENSG00000188706
ZNF711	XlinkedID	Piton13	ENSG00000147180

